Filename	EXIF:Date Taken [Y-m-d_H-M-S]	IPTC:Keywords	
B00000000_21I6LW_20150612_115011E	2015-06-12_11-49-56	Non codable	
B00000001_21I6LW_20150612_115012E	2015-06-12_11-49-59	Non codable	
B00000002_21I6LW_20150612_115013E	2015-06-12_11-50-01	Non codable	
B00000003_21I6LW_20150612_115014E	2015-06-12_11-50-04	Non codable	
B00000004_21I6LW_20150612_115014E	2015-06-12_11-50-06	Non codable	
B00000005_21I6LW_20150612_115015E	2015-06-12_11-50-09	Non codable	
B00000006_21I6LW_20150612_115635E	2015-06-12_11-56-35	Indoors	
B00000007_21I6LW_20150612_115710E	2015-06-12_11-57-10	Indoors	
B00000008_21I6LW_20150612_120259E	2015-06-12_12-02-59	Indoors	
B00000009_21I6LW_20150612_120335E	2015-06-12_12-03-35	Indoors	
B00000010_21I6LW_20150612_120348E	2015-06-12_12-03-48	Indoors	
B00000011_21I6LW_20150612_120423E	2015-06-12_12-04-22	Indoors	
B00000012_21I6LW_20150612_120503E	2015-06-12_12-05-03	Indoors	
B00000013_21I6LW_20150612_120544E	2015-06-12_12-05-44	Indoors	
B00000014_21I6LW_20150612_120624E	2015-06-12_12-06-23	Outdoors	
B00000015_21I6LW_20150612_120702E	2015-06-12_12-07-02	Indoors	
B00000016_21I6LW_20150612_120742E	2015-06-12_12-07-41	Indoors	
B00000017_21I6LW_20150612_120816E	2015-06-12_12-08-16	Indoors	
B00000018_21I6LW_20150612_120854E	2015-06-12_12-08-53	Indoors	
B00000019_21I6LW_20150612_120926E	2015-06-12_12-09-26	Indoors	
B00000020_21I6LW_20150612_121004E	2015-06-12_12-10-03	Indoors	
B00000021_21I6LW_20150612_121034E	2015-06-12_12-10-34	Indoors	
B00000022_21I6LW_20150612_121117E	2015-06-12_12-11-16	Indoors	
B00000023_21I6LW_20150612_121149E	2015-06-12_12-11-49	Indoors	
B00000024_21I6LW_20150612_121226E	2015-06-12_12-12-26	Indoors	
B00000025_21I6LW_20150612_121259E	2015-06-12_12-12-59	Indoors	
B00000026_21I6LW_20150612_121335E	2015-06-12_12-13-35	Indoors	
B00000027_21I6LW_20150612_121408E	2015-06-12_12-14-08	Indoors	
B00000028_21I6LW_20150612_121447E	2015-06-12_12-14-47	Indoors	
B00000029_21I6LW_20150612_121520E	2015-06-12_12-15-20	Indoors	
B00000030_21I6LW_20150612_121557E	2015-06-12_12-15-57	Indoors	
B00000031_21I6LW_20150612_121636E	2015-06-12_12-16-36	Indoors	
B00000032_21I6LW_20150612_121713E	2015-06-12_12-17-13	Indoors	
B00000033_21I6LW_20150612_121746E	2015-06-12_12-17-46	Indoors	
B00000034_21I6LW_20150612_121821E	2015-06-12_12-18-21	Indoors	
B00000035_21I6LW_20150612_121854E	2015-06-12_12-18-54	Indoors	
B00000036_21I6LW_20150612_121935E	2015-06-12_12-19-35	Indoors	
B00000037_21I6LW_20150612_122010E	2015-06-12_12-20-10	Indoors	
B00000038_21I6LW_20150612_122049E	2015-06-12_12-20-49	Indoors	
B00000039_21I6LW_20150612_122123E	2015-06-12_12-21-23	Indoors	
B00000040_21I6LW_20150612_122200E	2015-06-12_12-22-00	Indoors	
B00000041_21I6LW_20150612_122231E	2015-06-12_12-22-31	Indoors	
B00000042_21I6LW_20150612_122302E	2015-06-12_12-23-02	Indoors	
B00000043_21I6LW_20150612_122340E	2015-06-12_12-23-40	Outdoors	
B00000044_21I6LW_20150612_122419E	2015-06-12_12-24-19	Indoors	
B00000045_21I6LW_20150612_122459E	2015-06-12_12-24-59	Outdoors	
B00000046_21I6LW_20150612_122535E	2015-06-12_12-25-34	Outdoors	
B00000047_21I6LW_20150612_122611E	2015-06-12_12-26-10	Indoors	
B00000048_21I6LW_20150612_122646E	2015-06-12_12-26-46	Indoors	
B00000049_21I6LW_20150612_122727E	2015-06-12_12-27-27	Indoors	
B00000050_21I6LW_20150612_122758E	2015-06-12_12-27-58	Indoors	
B00000051_21I6LW_20150612_122838E	2015-06-12_12-28-38	Indoors	
B00000052_21I6LW_20150612_122918E	2015-06-12_12-29-18	Indoors	
B00000053_21I6LW_20150612_122953E	2015-06-12_12-29-53	Indoors	
B00000054_21I6LW_20150612_123028E	2015-06-12_12-30-28	Indoors	
B00000055_21I6LW_20150612_123107E	2015-06-12_12-31-06	Indoors	
B00000056_21I6LW_20150612_123144E	2015-06-12_12-31-44	Indoors	
B00000057_21I6LW_20150612_123223E	2015-06-12_12-32-23	Indoors	
B00000058_21I6LW_20150612_123256E	2015-06-12_12-32-56	Indoors	
B00000059_21I6LW_20150612_123327E	2015-06-12_12-33-26	Indoors	
B00000060_21I6LW_20150612_123359E	2015-06-12_12-33-58	Indoors	
B00000061_21I6LW_20150612_123427E	2015-06-12_12-34-27	Indoors	
B00000062_21I6LW_20150612_123508E	2015-06-12_12-35-08	Indoors	
B00000063_21I6LW_20150612_123548E	2015-06-12_12-35-48	Indoors	
B00000064_21I6LW_20150612_123628E	2015-06-12_12-36-27	Indoors	
B00000065_21I6LW_20150612_123701E	2015-06-12_12-37-01	Indoors	
B00000066_21I6LW_20150612_123737E	2015-06-12_12-37-37	Indoors	
B00000067_21I6LW_20150612_123816E	2015-06-12_12-38-16	Indoors	
B00000068_21I6LW_20150612_123900E	2015-06-12_12-38-59	Indoors	
B00000069_21I6LW_20150612_123934E	2015-06-12_12-39-34	Indoors	
B00000070_21I6LW_20150612_124007E	2015-06-12_12-40-07	Outdoors	
B00000071_21I6LW_20150612_124043E	2015-06-12_12-40-42	Outdoors	
B00000072_21I6LW_20150612_124116E	2015-06-12_12-41-16	Outdoors	
B00000073_21I6LW_20150612_124152E	2015-06-12_12-41-51	Outdoors	
B00000074_21I6LW_20150612_124224E	2015-06-12_12-42-24	Outdoors	
B00000075_21I6LW_20150612_124256E	2015-06-12_12-42-56	Outdoors	
B00000076_21I6LW_20150612_124331E	2015-06-12_12-43-31	Outdoors	
B00000077_21I6LW_20150612_124410E	2015-06-12_12-44-10	Outdoors	
B00000078_21I6LW_20150612_124444E	2015-06-12_12-44-44	Outdoors	
B00000079_21I6LW_20150612_124520E	2015-06-12_12-45-20	Outdoors	
B00000080_21I6LW_20150612_124555E	2015-06-12_12-45-55	Outdoors	
B00000081_21I6LW_20150612_124630E	2015-06-12_12-46-30	Outdoors	
B00000082_21I6LW_20150612_124707E	2015-06-12_12-47-07	Outdoors	
B00000083_21I6LW_20150612_124747E	2015-06-12_12-47-47	Outdoors	
B00000084_21I6LW_20150612_124828E	2015-06-12_12-48-27	Indoors	
B00000085_21I6LW_20150612_124900E	2015-06-12_12-49-00	Indoors	
B00000086_21I6LW_20150612_124934E	2015-06-12_12-49-33	Indoors	
B00000087_21I6LW_20150612_125004E	2015-06-12_12-50-04	Indoors	
B00000088_21I6LW_20150612_125044E	2015-06-12_12-50-44	Indoors	
B00000089_21I6LW_20150612_125123E	2015-06-12_12-51-23	Indoors	
B00000090_21I6LW_20150612_125202E	2015-06-12_12-52-02	Indoors	
B00000091_21I6LW_20150612_125237E	2015-06-12_12-52-37	Indoors	
B00000092_21I6LW_20150612_125314E	2015-06-12_12-53-14	Indoors	
B00000093_21I6LW_20150612_125350E	2015-06-12_12-53-49	Indoors	
B00000094_21I6LW_20150612_125428E	2015-06-12_12-54-28	Indoors	
B00000095_21I6LW_20150612_125507E	2015-06-12_12-55-07	Indoors	
B00000096_21I6LW_20150612_125546E	2015-06-12_12-55-46	Indoors	
B00000097_21I6LW_20150612_125618E	2015-06-12_12-56-17	Indoors	
B00000098_21I6LW_20150612_125651E	2015-06-12_12-56-50	Indoors	
B00000099_21I6LW_20150612_125724E	2015-06-12_12-57-23	Indoors	
